"study"	"variable1"	"variable2"	"df1"	"r"	"covariates"	"comment"	"v"	"v.from.raw.chisq"	"subsample"	"var1values"	"var1moment"	"var2values"	"var2moment"	"chisq"	"n"	"OR"	"df2"	"p"	"t"	"F"	"counter"	"d"	"etasq"	"insignificanceOnly"	"size"	"var1_dependent"	"var1_direction"	"var1_values"	"var1_uniqueVarID"	"var1_psytype"	"var2_dependent"	"var2_direction"	"var2_values"	"var2_uniqueVarID"	"var2_psytype"	"pred_psytype"	"dep_psytype"	"dependent"	"p.computed.from.chisq"	"v.computed.from.chisq"	"r.computed.from.or"	"d.computed.from.or"	"r.computed.from.t"	"p.computed.from.t"	"d.computed.from.t"	"p.computed.from.f"	"etasq.computed.from.f"	"omegasq.computed.from.f"	"d.computed.from.f"	"r_fam_sign"	"r.computed.from.v"	"r.computed.from.v.from.raw.chisq"	"r.computed.from.v.computed.from.chisq"	"r.computed.from.etasq"	"r.computed.from.etasq.computed.from.f"	"n.extracted"	"r.averaged.from.computations"	"r_fam_es"	"var1_classification"	"var2_classification"
"Barton1982.r"	"Smoker approximates ideal maturity"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealmaturity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal conformity"	"Smoking initiation intention"	101.424	0	NA	NA	NA	NA	"10th grade boys"	NA	NA	NA	NA	NA	102.424	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.424	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealconformity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal healthiness"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealhealthiness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal wisdom"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealwisdom"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal toughness"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealtoughness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal looks"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesideallooks"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal relaxedness"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealrelaxedness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sexual orientation"	"Smoking initiation intention"	144.576	0.25	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsexualorientation"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.25	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal goodness"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealgoodness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal school performance"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealschoolperformance"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal drinking behavior"	"Smoking initiation intention"	144.576	0.24	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealdrinkingbehavior"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.24	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal sociability"	"Smoking initiation intention"	144.576	0.22	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealsociability"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.22	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal maturity"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealmaturity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal conformity"	"Smoking initiation intention"	144.576	0	NA	NA	NA	NA	"10th grade girls"	NA	NA	NA	NA	NA	145.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	145.576	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealconformity"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
"Bewley1974.r"	"Bad idea for children to smoke"	"Smoking status"	3	NA	NA	"DF= 3 want 4 groepen - 1"	NA	NA	NA	NA	1	NA	1	9.9	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"inconsistent"	"NA"	"Bewley1974.r_badideaforchildrentosmoke"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.0388711614566405	0.217124059336724	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	-0.217124059336724	NA	NA	NA	-0.217124059336724	-0.217124059336724	"attitude"	"behavior"
"Bewley1974.r"	"Smoking is enjoyable"	"Smoking status"	3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	12	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_smokingisenjoyable"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.0147663210107195	0.239045721866879	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.239045721866879	NA	NA	NA	0.239045721866879	0.239045721866879	"attitude"	"behavior"
"Bewley1974.r"	"Smoking is a waste of money"	"Smoking status"	3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	22.4	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"inconsistent"	"NA"	"Bewley1974.r_smokingisawasteofmoney"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.000107702638466404	0.32659863237109	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	-0.32659863237109	NA	NA	NA	-0.32659863237109	-0.32659863237109	"attitude"	"behavior"
"Bewley1974.r"	"Nice to smoke with friends"	"Smoking status"	3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	19.2	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_nicetosmokewithfriends"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.000497122996653259	0.302371578407382	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.302371578407382	NA	NA	NA	0.302371578407382	0.302371578407382	"injunctive norm"	"behavior"
"Bewley1974.r"	"Smoking makes you feel grown up"	"Smoking status"	3	NA	NA	"non significant"	NA	NA	NA	NA	1	NA	1	5	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_smokingmakesyoufeelgrownup"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.343594288593466	0.154303349962092	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.154303349962092	NA	NA	NA	0.154303349962092	0.154303349962092	"attitude"	"behavior"
"Bewley1974.r"	"Parents should not be angry if their children smoke"	"Smoking status"	3	NA	NA	"non significant"	NA	NA	NA	NA	1	NA	1	1.4	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_parentsshouldnotbeangryiftheirchildrensmoke"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	1.41106946240818	0.0816496580927726	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0816496580927726	NA	NA	NA	0.0816496580927726	0.0816496580927726	"moral norm"	"behavior"
"Bewley1974.r"	"Smoking causes cancer"	"Smoking status"	3	NA	NA	"non significant"	NA	NA	NA	NA	1	NA	1	1	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"inconsistent"	"NA"	"Bewley1974.r_smokingcausescancer"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	1.6025039138024	0.0690065559342354	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	-0.0690065559342354	NA	NA	NA	-0.0690065559342354	-0.0690065559342354	"risk perception"	"behavior"
"Bewley1974.r"	"Smoking is not harmful"	"Smoking status"	3	NA	NA	"non significant"	NA	NA	NA	NA	1	NA	1	3.3	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_smokingisnotharmful"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.695285289464549	0.125356634105602	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.125356634105602	NA	NA	NA	0.125356634105602	0.125356634105602	"risk perception"	"behavior"
"Bewley1974.r"	"People my age smoke to show off"	"Smoking status"	3	NA	NA	NA	NA	NA	NA	NA	1	NA	1	12.8	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	105	"initiation"	"consistent"	"NA"	"Bewley1974.r_peoplemyagesmoketoshowoff"	"belief"	"initiation"	"consistent"	"0 | 1 | 2 | 3"	"Bewley1974.r_smokingstatus"	"behavior"	"belief"	"behavior"	"initiation"	0.010179396786873	0.246885359939347	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.246885359939347	NA	NA	NA	0.246885359939347	0.246885359939347	"attitude"	"behavior"
"Bidstrup2009.r"	"Attitude toward smoking"	"Smoking at 1st follow up"	NA	NA	0	"Page 389, Table 2, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	1.2	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"NA"	"Bidstrup2009.r_attitudetowardsmoking"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.0501962128136404	0.100519142518793	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.0501962128136404	0.0501962128136404	"attitude"	"behavior"
"Bidstrup2009.r"	"Mother smokes (No & Yes)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	1.6	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_mothersmokesnoyes"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.128489326741229	0.259126581756285	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.128489326741229	0.128489326741229	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Father smokes (No & Don't know)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	6.1	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_fathersmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.446125643500491	0.996961850817894	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.446125643500491	0.446125643500491	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Father smokes (No & Don't know)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	2.3	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_fathersmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.223780586580413	0.459206866734544	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.223780586580413	0.223780586580413	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Best friend smokes (No & Don't know)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	0.7	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_bestfriendsmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	-0.097850761057659	-0.196645202866371	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	-0.097850761057659	-0.097850761057659	NA	"behavior"
"Bidstrup2009.r"	"Best friend smokes (No & Don't know)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	6.8	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_bestfriendsmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.467207797797393	1.05685482638339	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.467207797797393	0.467207797797393	NA	"behavior"
"Bidstrup2009.r"	"Social influence (norms)"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	1.3	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"inconsistent"	"NA"	"Bidstrup2009.r_socialinfluencenorms"	"determinant"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"determinant"	"behavior"	"initiation"	NA	NA	0.0721360802346569	0.144649000127013	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	892.5	0.0721360802346569	0.0721360802346569	"injunctive norm"	"behavior"
"Bidstrup2009.r"	"Social influence (pressure)"	"Smoking at 1st follow up"	NA	NA	NA	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	1.5	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"NA"	"Bidstrup2009.r_socialinfluencepressure"	"determinant"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"determinant"	"behavior"	"initiation"	NA	NA	0.111080601017033	0.223544630185352	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	892.5	0.111080601017033	0.111080601017033	"injunctive norm"	"behavior"
"Bidstrup2009.r"	"Self-efficacy"	"Smoking at 1st follow up"	NA	NA	0	"Table 2, p. 389, column 1."	NA	NA	NA	NA	1	NA	2	NA	892.5	1.4	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"inconsistent"	"NA"	"Bidstrup2009.r_selfefficacy"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat1stfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.0923570012499851	0.185506866556473	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	892.5	0.0923570012499851	0.0923570012499851	"self-efficacy"	"behavior"
"Bidstrup2009.r"	"Attitude toward smoking"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	418.5	1.1	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"NA"	"Bidstrup2009.r_attitudetowardsmoking"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.0262645643801078	0.0525472561539709	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	418.5	0.0262645643801078	0.0262645643801078	"attitude"	"behavior"
"Bidstrup2009.r"	"Mother smokes (No & Yes)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	1.8	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_mothersmokesnoyes"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.159945853705519	0.324063772704144	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	433.5	0.159945853705519	0.159945853705519	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Father smokes (No & Don't know)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	2.8	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_fathersmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.273044358093457	0.567658935979317	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	433.5	0.273044358093457	0.273044358093457	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Father smokes (No & Don't know)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	1.8	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_fathersmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.159945853705519	0.324063772704144	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	433.5	0.159945853705519	0.159945853705519	"descriptive norm"	"behavior"
"Bidstrup2009.r"	"Best friend smokes (No & Don't know)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	0.7	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_bestfriendsmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	-0.097850761057659	-0.196645202866371	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	433.5	-0.097850761057659	-0.097850761057659	NA	"behavior"
"Bidstrup2009.r"	"Best friend smokes (No & Don't know)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	2.2	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"consistent"	"1 | 2"	"Bidstrup2009.r_bestfriendsmokesnodontknow"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.212390788922779	0.434699325576815	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	433.5	0.212390788922779	0.212390788922779	NA	"behavior"
"Bidstrup2009.r"	"Social influence (norms)"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	1.6	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"inconsistent"	"NA"	"Bidstrup2009.r_socialinfluencenorms"	"determinant"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"determinant"	"behavior"	"initiation"	NA	NA	0.128489326741229	0.259126581756285	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	433.5	0.128489326741229	0.128489326741229	"injunctive norm"	"behavior"
"Bidstrup2009.r"	"Self-efficacy"	"Smoking at 2nd follow up"	NA	NA	NA	"Table 2, p. 389, third column"	NA	NA	NA	NA	1	NA	3	NA	433.5	1.2	NA	NA	NA	NA	NA	NA	NA	NA	229	"initiation"	"inconsistent"	"NA"	"Bidstrup2009.r_selfefficacy"	"belief"	"initiation"	"consistent"	"0 | 1"	"Bidstrup2009.r_smokingat2ndfollowup"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	0.0501962128136404	0.100519142518793	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	433.5	0.0501962128136404	0.0501962128136404	"self-efficacy"	"behavior"
"Bosse1973.r"	"Affected acquaintance"	"cessation"	1	0.262	NA	" 
print(assocstats(matrix(c(427, 909-427, 474, 2360-474), ncol=2, byrow=TRUE)), digits=4);

  Correlation retrieved from page 384, left column third paragraph"	NA	NA	NA	NA	NA	NA	NA	237.82	3269	NA	NA	0.005	NA	NA	NA	NA	NA	NA	908	"cessation"	"consistent"	"NA"	"Bosse1973.r_affectedacquaintance"	"determinant"	"cessation"	"consistent"	"NA"	"Bosse1973.r_cessation"	"behavior"	"determinant"	"behavior"	"cessation"	2.35007481788519e-53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3269	NA	0.262	"injunctive norm"	"behavior"
"Bosse1973.r"	"Warning label awareness"	"cessation"	NA	-0.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	908	NA	NA	NA	NA	NA	NA	NA	NA	NA	908	"initiation"	"consistent"	NA	"Bosse1973.r_warninglabelawareness"	"determinant"	"cessation"	"consistent"	"NA"	"Bosse1973.r_cessation"	"behavior"	"determinant"	"behavior"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	-0.163	"attitude"	"behavior"
"Brandstetter2012.r"	"gender"	"Cessation in past 7 days"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	12	1.1	NA	0.08	NA	NA	NA	NA	NA	NA	12	"cessation"	NA	"NA"	"Brandstetter2012.r_gender"	"demographic"	"cessation"	"consistent"	"NA"	"Brandstetter2012.r_cessationinpast7days"	"behavior"	"none"	"behavior"	"cessation"	NA	NA	0.0262645643801078	0.0525472561539709	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0262645643801078	0.0262645643801078	"demographic"	"behavior"
