variable	classification_P	type	datatype	dependent	direction	psytype	parent	study	uniqueVarID	classification_P_20150828_1345	rater
I live healthy otherwise	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_ilivehealthyotherwise	disengagement beliefs	P
Know heavy smokers that lived long	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_knowheavysmokersthatlivedlong	disengagement beliefs	P
Medical science will invent something	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_medicalsciencewillinventsomething	disengagement beliefs	P
Not everyone gets sick through smoking	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_noteveryonegetssickthroughsmoking	disengagement beliefs	P
Pollution is just as unhealthy	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_pollutionisjustasunhealthy	disengagement beliefs	P
quit intention	intention	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_quitintention	intention	P
Rather a short/good life than a long/boring life	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_ratherashortgoodlifethanalongboringlife	disengagement beliefs	P
There are lots of risks in life	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_therearelotsofrisksinlife	disengagement beliefs	P
You have to die of something	disengagement beliefs	question	numeric	initiation	NA	behavior	NA	kleinjan2009.r	kleinjan2009.r_youhavetodieofsomething	disengagement beliefs	P
Anticipated regret	Anticipated regret	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_anticipatedregret	Anticipated regret	P
Attitudes	attitude	aggregate	numeric	cessation		determinant		lazuras2012.r	lazuras2012.r_attitudes	attitude	P
Descriptive norms - quitters	descriptive norm	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_descriptivenormsquitters	descriptive norm	P
Descriptive norms - smokers	descriptive norm	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_descriptivenormssmokers	descriptive norm	P
Health benefit from quitting	risk perception	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_healthbenefitfromquitting	risk perception	P
Health risk from continuing smoking	risk perception	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_healthriskfromcontinuingsmoking		P
	risk perception								lazuras2012.r_healthriskfromsmoking	risk perception	P
Quit intention	intention	question	numeric	cessation		proxy		lazuras2012.r	lazuras2012.r_quitintention		P
	intention								lazuras2012.r_quitintentions	intention	P
Self-efficacy	self-efficacy	question	numeric	cessation		determinant		lazuras2012.r	lazuras2012.r_selfefficacy	self-efficacy	P
Subjective norms	subjective norms	question	numeric	cessation		belief		lazuras2012.r	lazuras2012.r_subjectivenorms	subjective norms	P
Perceived support from friends	injunctive norm	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_perceivedsupportfromfriends		P
Perceived support from other family members	injunctive norm	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_perceivedsupportfromotherfamilymembers		P
Perceived support from partner	injunctive norm	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_perceivedsupportfrompartner		P
Perceived support from workmates	injunctive norm	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_perceivedsupportfromworkmates		P
Psychosocial smoker	irrelevant	question	logical	cessation		belief	NA	lennox1994.r	lennox1994.r_psychosocialsmoker		P
Smoking increases risk of bronchitis	risk perception	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_smokingincreasesriskofbronchitis		P
Smoking increases risk of heart disease	risk perception	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_smokingincreasesriskofheartdisease		P
Smoking increases risk of lung cancer	risk perception	question	ordinal	cessation		belief	NA	lennox1994.r	lennox1994.r_smokingincreasesriskoflungcancer		P
Successful quitting	behavior	question	logical	cessation		behavior	NA	lennox1994.r	lennox1994.r_successfulquitting		P
									Maassen2004.r_		P
Bad for health	risk perception	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_badforhealth		P
Difficult to quit	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_difficulttoquit		P
Easier to be part of the crowd	self-efficacy	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_easiertobepartofthecrowd		P
Friends pay more attention to me	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_friendspaymoreattentiontome		P
Helps calm nerves	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_helpscalmnerves		P
Helps concentrate in class	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_helpsconcentrateinclass		P
Helps feel confident in company	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_helpsfeelconfidentincompany		P
Helps keep slim	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_helpskeepslim		P
Helps relax	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_helpsrelax		P
Intention to smoke next year	intention	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_intentiontosmokenextyear		P
Is stupid of me	attitude	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_isstupidofme		P
Is wrong	attitude	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_iswrong		P
It's ok if not inhaled	risk perception	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_itsokifnotinhaled		P
Only harmful if you smoke a lot	risk perception	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_onlyharmfulifyousmokealot		P
Percieved behavior - best friend smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviorbestfriendsmokes		P
Percieved behavior - brother smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviorbrothersmokes		P
Percieved behavior - father smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviorfathersmokes		P
Percieved behavior - most friends smoke	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviormostfriendssmoke		P
Percieved behavior - mother smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviormothersmokes		P
Percieved behavior - sister smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviorsistersmokes		P
Percieved behavior - teacher smokes	descriptive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_percievedbehaviorteachersmokes		P
Safe to smoke for a year or two	risk perception	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_safetosmokeforayearortwo		P
Self efficacy when doing homework	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywhendoinghomework		P
Self efficacy when nervous	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywhennervous		P
Self efficacy when offered a cigarette	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywhenofferedacigarette		P
Self efficacy when on the way home from school	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywhenonthewayhomefromschool		P
Self efficacy when upset	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywhenupset		P
Self efficacy with smoking friends	self-efficacy	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_selfefficacywithsmokingfriends		P
Smoke from other people is harmful	risk perception	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_smokefromotherpeopleisharmful		P
Smokers	behavior	question	numeric	initiation	consistent	behavior	NA	Maassen2004.r	Maassen2004.r_smokers		P
smoking	behavior	question	logical	initiation	consistent	behavior	NA	Maassen2004.r	Maassen2004.r_smoking		P
Smoking harms health	risk perception	question	numeric	initiation	inconsistent	belief	NA	Maassen2004.r	Maassen2004.r_smokingharmshealth		P
smoking is pleasant	attitude	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_smokingispleasant	attitude	P
Social norm best friend	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormbestfriend		P
Social norm brother	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormbrother		P
Social norm father	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormfather		P
Social norm friends	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormfriends		P
Social norm mother	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormmother		P
Social norm sister	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormsister		P
Social norm teacher	subjective norms	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialnormteacher		P
Social pressure best friend	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressurebestfriend		P
Social pressure brother	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressurebrother		P
social pressure father	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressurefather		P
social pressure mother	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressuremother		P
Social pressure sister	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressuresister		P
Social pressure teacher	injunctive norm	question	numeric	initiation	consistent	belief	NA	Maassen2004.r	Maassen2004.r_socialpressureteacher		P
Sorry I ever started	Anticipated regret	question	numeric	initiation	inconsistent	determinant	NA	Maassen2004.r	Maassen2004.r_sorryieverstarted		P
Tastes horrible	attitude	question	numeric	initiation	inconsistent	determinant	NA	Maassen2004.r	Maassen2004.r_tasteshorrible		P
barriers to quitting	self-efficacy	aggregate	numeric	cessation	inconsistent	behavior		martin2006.r	martin2006.r_barrierstoquitting		P
motivation to quit	intention	aggregate	numeric	cessation	consistent	behavior		martin2006.r	martin2006.r_motivationtoquit		P
self-efficacy	self-efficacy	question	numeric	cessation	consistent	behavior	NA	martin2006.r	martin2006.r_selfefficacy		P
Best friend's smoking status	descriptive norm	question	numeric	initiation	consistent	belief	NA	miller2006.r	miller2006.r_bestfriendssmokingstatus		P
experimentation	attitude	question	logical	initiation	consistent	behavior	NA	miller2006.r	miller2006.r_experimentation		P
no. of best friends using tobacco	descriptive norm	question	numeric	initiation	consistent	belief	NA	miller2006.r	miller2006.r_noofbestfriendsusingtobacco		P
reactance	attitude	aggregate	numeric	initiation	consistent	determinant	NA	miller2006.r	miller2006.r_reactance		P
susceptibility to initiation	pending	aggregate	numeric	initiation	consistent	determinant	NA	miller2006.r	miller2006.r_susceptibilitytoinitiation		P
Degree of difficulty in quitting	self-efficacy	question	numeric	cessation		belief		myung2012.r	myung2012.r_degreeofdifficultyinquitting		P
Health damage from smoking	risk perception	question	numeric	cessation		belief		myung2012.r	myung2012.r_healthdamagefromsmoking		P
Intention to quit	intention	question	numeric	cessation		proxy		myung2012.r	myung2012.r_intentiontoquit		P
Medical evidence is exaggerated	risk perception	question	numeric	cessation		belief		myung2012.r	myung2012.r_medicalevidenceisexaggerated		P
Self-efficacy regarding quitting smoking	self-efficacy	question	numeric	cessation		belief		myung2012.r	myung2012.r_selfefficacyregardingquittingsmoking		P
Smoking is no riskier than many other things	risk perception	question	numeric	cessation		belief		myung2012.r	myung2012.r_smokingisnoriskierthanmanyotherthings		P
You've got to die of something	risk perception	question	numeric	cessation		belief		myung2012.r	myung2012.r_youvegottodieofsomething		P
Addiction - physical and psychological	irrelevant	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_addictionphysicalandpsychological	irrelevant	P
Appetite suppression and weight	attitude	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_appetitesuppressionandweight	attitude	P
Attention to alcohol and smoking	attentional bias	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_attentiontoalcoholandsmoking	attentional bias	P
Buddy-systems	external factor	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_buddysystems	external factor	P
Exercise	external factor	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_exercise	external factor	P
Group based meetings	external factor	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_groupbasedmeetings	external factor	P
Inspirational motivation	external factor	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_inspirationalmotivation	external factor	P
Intervention should be fun	irrelevant	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_interventionshouldbefun	irrelevant	P
Lecturing should be avoided	irrelevant	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_lecturingshouldbeavoided	irrelevant	P
Overal healthy behavior should be promoted alongside intervention	irrelevant	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_overalhealthybehaviorshouldbepromotedalongsideintervention	irrelevant	P
Pairing of alcohol and cigarettes	attitude	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_pairingofalcoholandcigarettes	attitude	P
Peer influence	subjective norms	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_peerinfluence	subjective norms	P
Projected social image	injunctive norm	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_projectedsocialimage	injunctive norm	P
Stress management and relaxation	attitude	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_stressmanagementandrelaxation	attitude	P
Support	external factor	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_support	external factor	P
Time management e.g. boredom	attitude	question	text	cessation		belief		nandemin2010.r	nandemin2010.r_timemanagementegboredom	attitude	P
I believed I could quit whenever I wanted to	disengagement beliefs	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_ibelievedicouldquitwheneveriwantedto	disengagement beliefs	P
It helped me manage my stress	attitude	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_ithelpedmemanagemystress	attitude	P
I was less depressed when I smoked	attitude	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_iwaslessdepressedwhenismoked		P
I was not worried about health effects	risk perception	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_iwasnotworriedabouthealtheffects		P
My friends approved of my smoking	injunctive norm	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_myfriendsapprovedofmysmoking	injunctive norm	P
my friends smoked	descriptive norm	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_myfriendssmoked		P
other	irrelevant	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_other		P
Smoking made me look more cool	injunctive norm	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_smokingmademelookmorecool	injunctive norm	P
Tobacco advertising was attractive to me	attitude	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_tobaccoadvertisingwasattractivetome	attitude	P
Weight concerns	attitude	question	text	initiation	consistent	belief	NA	oh2010.r	oh2010.r_weightconcerns	attitude	P
	self-efficacy								owen1992.r_lowconfidenceinabilitytoquit	self-efficacy	P
	risk perception								owen1992.r_seesfewhealthrisks	risk perception	P
	self-efficacy								owen1992.r_seesquittingasbeingverydifficultv	self-efficacy	P
attitude cons	attitude	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_attitudecons		P
best friend non-smoking	descriptive norm	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_bestfriendnonsmoking		P
brother non-smoking	descriptive norm	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_brothernonsmoking		P
Cons of smoking	attitude	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_consofsmoking	attitude	P
intention not to smoke	intention	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_intentionnottosmoke		P
Intention not to smoke within next year	intention	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_intentionnottosmokewithinnextyear	intention	P
Perceived behavior of important others	descriptive norm	aggregate	logical	cessation	consistent	belief	NA	panday2005.r	panday2005.r_perceivedbehaviorofimportantothers		P
	descriptive norm								panday2005.r_perceivednonsmokingbehaviorofimportantothers	descriptive norm	P
Pros of smoking	attitude	aggregate	numeric	cessation	inconsistent	belief	NA	panday2005.r	panday2005.r_prosofsmoking	attitude	P
self-efficacy not to smoke	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_selfefficacynottosmoke		P
Self efficacy - routine	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_selfefficacyroutine	self-efficacy	P
Self efficacy - social	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_selfefficacysocial	self-efficacy	P
Self efficacy - stress	self-efficacy	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_selfefficacystress	self-efficacy	P
smoking status	behavior	question	logical	cessation	consistent	behavior	NA	panday2005.r	panday2005.r_smokingstatus		P
Social nonsmoking pressure family	injunctive norm	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnonsmokingpressurefamily	injunctive norm	P
Social nonsmoking pressure friends	injunctive norm	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnonsmokingpressurefriends	injunctive norm	P
Social nonsmoking pressure teachers	injunctive norm	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnonsmokingpressureteachers	injunctive norm	P
Social norm family	subjective norms	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnormfamily	subjective norms	P
Social norm friends	subjective norms	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnormfriends		P
	subjective norms								panday2005.r_socialnormfriendssocialnormteachers	subjective norms	P
Social norm teachers	subjective norms	question	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialnormteachers		P
social pressure not to smoke	injunctive norm	aggregate	numeric	cessation	consistent	belief	NA	panday2005.r	panday2005.r_socialpressurenottosmoke		P
Concern over disease	risk perception	question	numeric	cessation	consistent	belief	NA	Pederson1984.r	Pederson1984.r_concernoverdisease		P
Efficacy of smoking cessation	response efficacy	question	numeric	cessation	consistent	belief	NA	Pederson1984.r	Pederson1984.r_efficacyofsmokingcessation		P
Likelihood that smoking is causing chest problem	risk perception	question	numeric	cessation	consistent	belief	NA	Pederson1984.r	Pederson1984.r_likelihoodthatsmokingiscausingchestproblem		P
Perceived severity	risk perception	question	numeric	cessation	consistent	belief	NA	Pederson1984.r	Pederson1984.r_perceivedseverity		P
Quitting	behavior	question	numeric	cessation	consistent	belief	NA	Pederson1984.r	Pederson1984.r_quitting		P
activities/rap contest	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_activitiesrapcontest		P
Aesthetics	attitude	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_aesthetics		P
affected source/direct communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_affectedsourcedirectcommunication		P
affected source of communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_affectedsourceofcommunication		P
attractive source/direct communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_attractivesourcedirectcommunication		P
attractive source of communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_attractivesourceofcommunication		P
Awareness of declining personal fitness aids cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_awarenessofdecliningpersonalfitnessaidscessation		P
causes smoking	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_causessmoking		P
Cessation programmes are more enjoyable if they involve fun activities	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_cessationprogrammesaremoreenjoyableiftheyinvolvefunactivities		P
Cessation programmes without fun activities are boring and aren't inviting to learn	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_cessationprogrammeswithoutfunactivitiesareboringandarentinvitingtolearn		P
Communication by affected sources could aid recruitment for cessation programmes	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_communicationbyaffectedsourcescouldaidrecruitmentforcessationprogrammes		P
Current cessation programmes only talk about cigarettes, not life experiences	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_currentcessationprogrammesonlytalkaboutcigarettesnotlifeexperiences		P
Damage to personal health	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_damagetopersonalhealth		P
direct communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_directcommunication		P
Direct communication about hazards from affected source	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_directcommunicationabouthazardsfromaffectedsource		P
Direct communication by attractive source	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_directcommunicationbyattractivesource		P
Don't know	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_dontknow		P
encouragement	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_encouragement		P
Encouragement without pressure aids cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_encouragementwithoutpressureaidscessation		P
environmental change	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_environmentalchange		P
Family sickness	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_familysickness		P
food/fun activities	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_foodfunactivities		P
Give people real, truthful information about the importance of cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_givepeoplerealtruthfulinformationabouttheimportanceofcessation		P
If I knew my younger sister smoked -that would aid my cessation-	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_ifiknewmyyoungersistersmokedthatwouldaidmycessation		P
lack activities	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_lackactivities		P
music	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_music		P
Never thought about it	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_neverthoughtaboutit		P
non-supportive	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_nonsupportive		P
Non-supportive comments from the environment are discouraging	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_nonsupportivecommentsfromtheenvironmentarediscouraging		P
not effective	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_noteffective		P
Not liking the way you smell aids cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_notlikingthewayyousmellaidscessation		P
Organize youth activities  - rap battle- about non-smoking and positive activities	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_organizeyouthactivitiesrapbattleaboutnonsmokingandpositiveactivities		P
parental cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_parentalcessation		P
Parental cessation could be encouraging	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_parentalcessationcouldbeencouraging		P
parental encouragement	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_parentalencouragement		P
Parental encouragement aides cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_parentalencouragementaidescessation		P
partner encouragement	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_partnerencouragement		P
Partner encouragement motivates to quit	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_partnerencouragementmotivatestoquit		P
Peer pressure	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_peerpressure		P
Peer pressure from friends encourages to quit	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_peerpressurefromfriendsencouragestoquit		P
Personal fitness	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_personalfitness		P
personal health	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_personalhealth		P
professional sources of communication	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_professionalsourcesofcommunication		P
real information	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_realinformation		P
Recruitment for cessation programme by attractive source	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_recruitmentforcessationprogrammebyattractivesource		P
Recruitment should happen face to face so questions can be answered	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_recruitmentshouldhappenfacetofacesoquestionscanbeanswered		P
Seeing ill relatives aids cessation	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_seeingillrelativesaidscessation		P
Self-control	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_selfcontrol		P
Talks and recruitment by physicians	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_talksandrecruitmentbyphysicians		P
Tobacco awareness programmes don't do anything, are boring and cause desire to smoke	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_tobaccoawarenessprogrammesdontdoanythingareboringandcausedesiretosmoke		P
unknown	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_unknown		P
Wanting more control in life	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_wantingmorecontrolinlife		P
younger family smokes	peripheral	question	text	cessation	consistent	belief	NA	peters2011.r	peters2011.r_youngerfamilysmokes		P
Personal desire is required to quit	self-efficacy	question	text	cessation	consistent	belief	NA	pletsch2003.r	pletsch2003.r_personaldesireisrequiredtoquit	self-efficacy	P
Smoking relieves stress	attitude	question	text	cessation	inconsistent	belief	NA	pletsch2003.r	pletsch2003.r_smokingrelievesstress		P
Stress from violent environment/neighbourhood	external factor	question	text	cessation	inconsistent	belief	NA	pletsch2003.r	pletsch2003.r_stressfromviolentenvironmentneighbourhood	external factor	P
Stressful family situation	external factor	question	text	cessation	inconsistent	belief	NA	pletsch2003.r	pletsch2003.r_stressfulfamilysituation	external factor	P
Stress increases need to smoke	attitude	question	text	cessation	inconsistent	belief	NA	pletsch2003.r	pletsch2003.r_stressincreasesneedtosmoke	attitude	P
Willpower is required to quit	self-efficacy	question	text	cessation	consistent	belief	NA	pletsch2003.r	pletsch2003.r_willpowerisrequiredtoquit	self-efficacy	P
Worry about health problems	risk perception	question	text	cessation	consistent	belief	NA	pletsch2003.r	pletsch2003.r_worryabouthealthproblems	risk perception	P
You can do it if you want to	self-efficacy	question	text	cessation	consistent	belief	NA	pletsch2003.r	pletsch2003.r_youcandoitifyouwantto	self-efficacy	P
You have to be ready to quit	self-efficacy	question	text	cessation	consistent	belief	NA	pletsch2003.r	pletsch2003.r_youhavetobereadytoquit	self-efficacy	P
attitude towards SCTs	attitude	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_attitudetowardsscts		P
cessation readiness	intention	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_cessationreadiness		P
cons of abstinence,	attitude	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_consofabstinence		P
experienced social stimulation for abstinence	injunctive norm	aggregate	numeric	cessation	consistent	determinant	NA	rijt2004.r	rijt2004.r_experiencedsocialstimulationforabstinence		P
